X;Y;Z;Classification;R;G;B;NIR;treeID;Tree_type
691005.28;6468825.85;0.0;2;5888;8960;6400;24320;3775.0;Ель
691005.41;6468825.81;23.904;5;1536;3584;4096;19456;3775.0;Ель
691005.14;6468825.79;22.423;5;13312;18176;10496;39424;3775.0;Ель
691003.8;6468825.69;19.77;5;19712;25856;16640;51456;3775.0;Ель
691000.07;6468825.4;0.0;2;25088;28416;21248;53248;4680.0;Ель
691002.92;6468825.62;15.045;5;7936;9472;6400;34304;3775.0;Ель
691000.69;6468825.44;7.852;5;16896;20224;13056;45568;4680.0;Ель
691002.33;6468825.56;16.608;5;11520;14592;8960;34816;4680.0;Ель
691001.03;6468825.46;9.7;1;17408;19968;13056;44288;4680.0;Ель
691001.54;6468825.5;17.018;5;20736;24576;17152;48640;4680.0;Ель
691000.2;6468825.39;9.999;1;26880;30208;23040;51712;4680.0;Ель
691000.44;6468825.4;15.897;5;17664;21504;14080;47104;4680.0;Ель
691008.91;6468827.17;0.0;2;3584;4096;3840;17920;3775.0;Ель
691009.28;6468827.17;15.939;5;2304;2560;3840;15360;6484.0;Ель
691009.95;6468827.22;19.613;5;10240;7936;9216;22784;6484.0;Ель
691008.34;6468827.09;15.812;5;11008;12800;8704;30208;3775.0;Ель
691008.65;6468827.11;17.464;5;3584;4096;3840;17408;3775.0;Ель
691008.45;6468827.09;20.805;5;4096;5376;3584;20480;3775.0;Ель
691007.92;6468827.05;17.906;5;18688;22016;14848;48128;3775.0;Ель
691007.8;6468827.03;22.057;5;18688;22016;14848;48128;3775.0;Ель
691008.03;6468827.05;23.353;5;18432;20992;14848;43008;3775.0;Ель
691007.32;6468826.99;24.141;5;17408;22016;11776;49152;3775.0;Ель
691006.25;6468826.9;22.696;5;13824;17152;12032;44032;3775.0;Ель
691004.13;6468826.73;20.34;5;18176;22016;14592;49152;3775.0;Ель
691004.48;6468826.74;22.23;5;7168;10496;5888;33280;3775.0;Ель
691003.52;6468826.68;17.077;5;15616;18688;13568;46848;3775.0;Ель
691000.31;6468826.43;0.0;2;18688;23552;15872;47872;3852.0;Ель
691001.0;6468826.47;8.332;5;19968;23808;15872;49152;3852.0;Ель
691001.75;6468826.53;12.3;1;16896;20224;15104;46592;3852.0;Ель
691002.54;6468826.6;16.46;5;2048;3072;3328;14592;3775.0;Ель
691001.94;6468826.54;17.974;5;12032;15104;11520;36096;3852.0;Ель
691001.24;6468826.48;18.711;5;22784;26368;19712;51456;3852.0;Ель
691000.78;6468826.43;20.967;5;19200;23296;16384;48128;3852.0;Ель
691008.84;6468828.21;0.0;2;16640;18944;14080;40448;3775.0;Ель
691007.97;6468828.14;0.0;2;7424;10496;7936;30208;3775.0;Ель
691007.11;6468828.06;0.0;2;18176;21504;14848;46848;3775.0;Ель
691006.26;6468827.99;0.0;2;15616;19200;12544;45056;3775.0;Ель
691007.99;6468828.12;9.552;5;7424;10496;7936;30208;3775.0;Ель
691008.52;6468828.14;17.187;5;7936;9472;8960;26624;3775.0;Ель
691008.86;6468828.17;19.086;5;13056;15104;11776;34304;3775.0;Ель
691008.48;6468828.13;21.657;5;7936;9472;8960;26624;3775.0;Ель
691008.28;6468828.12;20.577;5;5888;8192;7936;23552;3775.0;Ель
691006.68;6468827.98;16.225;5;18688;22528;14592;48384;3775.0;Ель
691003.7;6468827.76;0.0;2;10496;11264;8448;32256;3852.0;Ель
691007.77;6468828.07;22.209;5;7424;10496;6912;33024;3775.0;Ель
691007.53;6468828.05;20.89;5;8448;11520;7936;35584;3775.0;Ель
691004.38;6468827.81;8.423;5;2304;3328;3584;17664;3775.0;Ель
691006.9;6468827.99;22.16;5;21760;25600;17152;50944;3775.0;Ель
691002.82;6468827.69;0.0;2;4096;5120;5376;16384;3852.0;Ель
691005.97;6468827.91;21.608;5;9984;12032;8192;34304;3775.0;Ель
691004.38;6468827.79;17.713;5;1280;2560;1536;19712;3775.0;Ель
691004.65;6468827.81;19.13;5;2304;3072;4864;17664;3775.0;Ель
691003.35;6468827.7;16.893;5;3328;3840;2560;19712;3852.0;Ель
691003.68;6468827.73;18.623;5;10496;11264;8448;32256;3852.0;Ель
691003.89;6468827.75;19.704;5;10240;11776;8704;31744;3852.0;Ель
691003.01;6468827.67;19.365;5;512;1536;1280;12544;3852.0;Ель
691001.36;6468827.54;15.564;5;13056;16128;13056;38656;3852.0;Ель
691001.86;6468827.57;18.245;5;5120;7936;5888;25600;3852.0;Ель
691002.23;6468827.6;20.217;5;5632;7936;7168;21760;3852.0;Ель
691001.37;6468827.53;20.044;5;13056;16128;13056;38656;3852.0;Ель
691000.83;6468827.48;21.661;5;15872;19456;13568;43520;3852.0;Ель
691000.56;6468827.46;20.245;5;19200;23552;15360;48640;3852.0;Ель
691000.1;6468827.41;22.595;5;20480;25088;14848;51200;3852.0;Ель
691009.21;6468829.35;0.0;2;14848;17152;12288;36352;6484.0;Ель
691008.3;6468829.27;0.0;2;7936;8448;7168;27648;5587.0;Ель
691007.48;6468829.2;0.0;2;2048;3328;4352;19968;5587.0;Ель
691009.77;6468829.35;21.993;5;14848;18432;12544;35584;6484.0;Ель
691005.75;6468829.05;0.0;2;1792;2048;3072;14848;3775.0;Ель
691007.78;6468829.19;15.729;5;2304;4608;4352;19200;5587.0;Ель
691004.89;6468828.97;0.0;2;4096;3840;5376;16640;3852.0;Ель
691008.1;6468829.21;17.525;5;5376;6400;6144;25600;5587.0;Ель
691007.03;6468829.12;16.429;5;0;768;2304;17664;5587.0;Ель
691004.06;6468828.9;0.0;2;6912;8192;9216;25600;3852.0;Ель
691006.12;6468829.04;16.12;5;4864;5888;5632;24320;3775.0;Ель
691004.39;6468828.92;6.668;5;3328;4608;5632;21760;3852.0;Ель
691006.88;6468829.1;20.317;5;0;512;1536;18176;3775.0;Ель
691003.14;6468828.82;0.0;2;15104;17920;13568;43776;3852.0;Ель
691002.33;6468828.75;0.0;2;8704;11264;9216;30976;3852.0;Ель
691005.59;6468828.99;17.693;5;256;256;2816;15104;3775.0;Ель
691005.4;6468828.97;21.439;5;256;256;2816;15104;3775.0;Ель
691005.09;6468828.95;19.826;5;1792;1280;4096;13824;3775.0;Ель
691004.76;6468828.93;18.041;5;2048;2304;2816;18176;3852.0;Ель
691004.47;6468828.89;21.009;5;2560;3584;3840;19200;3852.0;Ель
691004.77;6468828.92;22.766;5;2048;2304;2816;18176;3852.0;Ель
691003.94;6468828.84;22.563;5;5888;6144;6656;24320;3852.0;Ель
691002.86;6468828.76;21.599;5;15616;18432;14336;41984;3852.0;Ель
691002.22;6468828.7;22.413;5;8704;11264;9216;30976;3852.0;Ель
691001.19;6468828.62;21.704;5;2048;3328;2304;18944;3852.0;Ель
691000.77;6468828.59;19.507;5;6144;7936;6144;26112;3852.0;Ель
691003.78;6468829.99;0.0;2;22528;26624;19712;49152;3852.0;Ель
691003.83;6468829.96;18.746;5;24320;28416;21760;48896;3852.0;Ель
691003.27;6468829.91;20.415;5;17152;20480;13824;44288;3852.0;Ель
691003.53;6468829.92;21.795;5;19712;23040;16384;46592;3852.0;Ель
691002.81;6468829.86;22.533;5;18688;22272;16384;46592;3852.0;Ель
691002.16;6468829.81;23.403;5;17152;20224;14080;45568;3852.0;Ель
691001.25;6468829.73;23.354;5;6912;8192;8960;25856;3852.0;Ель
691001.01;6468829.71;22.038;5;5120;7168;7680;24832;3852.0;Ель
691008.77;6468826.58;15.83;5;1792;1792;3840;14336;3775.0;Ель
691008.98;6468826.71;17.22;5;1792;2048;3072;13312;3775.0;Ель
691009.87;6468827.29;13.524;5;10240;7936;9216;22784;6484.0;Ель
691008.47;6468826.41;0.0;2;1280;1280;3840;14848;3775.0;Ель
691009.18;6468826.88;0.0;2;4352;4608;5632;17408;6484.0;Ель
691006.06;6468826.17;23.771;5;7680;8960;7168;33792;3775.0;Ель
691006.46;6468826.43;21.551;5;18688;22272;15872;48896;3775.0;Ель
691006.84;6468826.66;23.991;5;18176;23296;14336;49920;3775.0;Ель
691007.43;6468827.05;23.259;5;16384;20992;11264;46848;3775.0;Ель
691008.12;6468827.5;23.344;5;9216;12288;6144;32256;3775.0;Ель
691007.73;6468827.26;20.769;5;16640;20480;12032;45568;3775.0;Ель
691007.49;6468827.11;19.199;5;16384;20992;11264;46848;3775.0;Ель
691008.4;6468827.68;20.554;5;4352;5888;5376;19968;3775.0;Ель
691008.15;6468827.54;18.978;5;9216;12288;6144;32256;3775.0;Ель
691008.62;6468827.84;17.05;5;6912;8448;7936;22272;3775.0;Ель
691008.95;6468828.04;19.153;5;13056;15104;11776;34304;3775.0;Ель
691006.01;6468826.17;0.0;2;7680;8960;7168;33792;3775.0;Ель
691009.87;6468828.63;20.458;5;4864;5888;6656;17920;6484.0;Ель
691006.71;6468826.63;0.0;2;17152;21248;13824;48896;3775.0;Ель
691008.15;6468827.58;0.0;2;9216;12288;6144;32256;3775.0;Ель
691008.88;6468828.05;0.0;2;13056;15104;11776;34304;3775.0;Ель
691009.66;6468828.56;0.0;2;1280;2560;3328;15616;6484.0;Ель
691004.36;6468826.18;23.16;5;18176;23808;13824;48384;3775.0;Ель
691003.33;6468825.52;16.546;5;12288;15104;11008;44032;3775.0;Ель
691003.82;6468825.83;19.658;5;17920;24064;14848;50176;3775.0;Ель
691004.15;6468826.05;21.809;5;16640;22272;12544;48896;3775.0;Ель
691004.83;6468826.49;21.734;5;5888;8448;6144;26624;3775.0;Ель
691005.15;6468826.69;23.728;5;1280;2304;3072;17408;3775.0;Ель
691005.75;6468827.08;22.897;5;0;768;512;18432;3775.0;Ель
691005.52;6468826.94;21.358;5;2816;3072;4352;18944;3775.0;Ель
691005.53;6468826.95;16.78;5;2816;3072;4352;18944;3775.0;Ель
691005.93;6468827.21;19.419;5;11520;13568;10752;35584;3775.0;Ель
